trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.999}",25,0,-101.4845591,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 0.998001}",20,0,-90.99763599,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.5, 'e': 0.997002999}",20,0,-60.62342634,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 0.996005996001}",25,0,-12.80425988,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,FALSE,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-59.61016943,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,FALSE,"{'a': 0.5, 'e': 0.994014980014994}",35,0,-94.87917955,"{0: 23, 1: 1, 2: 10, 3: 1, 4: 0}",0
7,FALSE,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-26.89771801,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-65.58934103,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,FALSE,"{'a': 0.5, 'e': 0.991035916125874}",25,0,-142.0507788,"{0: 10, 1: 5, 2: 9, 3: 0, 4: 1}",0
10,FALSE,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-33.6490946,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 0.9890548353295384}",25,0,-60.7714484,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-10.44157764,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.5, 'e': 0.9870777147137147}",25,0,-58.57572781,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-43.44362756,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,FALSE,"{'a': 0.5, 'e': 0.985104546362002}",25,0,-53.66353532,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,FALSE,"{'a': 0.5, 'e': 0.9841194418156399}",30,0,-35.81372869,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-58.17393488,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
